"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"2";"";"C-USC0805";"C0805";"C18, C21";"CAPACITOR, American symbol";"63";"C";
"3";"";"C-USC1206";"C1206";"C13, C14, C17";"CAPACITOR, American symbol";"24";"C";
"2";"";"CPOL-USE2-5";"E2-5";"C22, C25";"POLARIZED CAPACITOR, American symbol";"7";"C";
"2";"";"PINHD-1X5";"1X05";"JP3, JP4";"PIN HEADER";"69";"";
"2";"";"PINHD-2X10";"2X10";"JP1, JP2";"PIN HEADER";"7";"";
"33";"100k";"R-US_R0402";"R0402";"R5, R8, R9, R11, R12, R14, R15, R17, R18, R20, R21, R23, R24, R26, R27, R29, R30, R32, R33, R35, R36, R44, R45, R47, R48, R56, R57, R59, R60, R68, R69, R71, R72";"RESISTOR, American symbol";"34";"R";
"16";"10n";"C-USC0402";"C0402";"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C15, C16, C19, C20, C23, C24";"CAPACITOR, American symbol";"16";"C";
"1";"130k";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"77";"R";
"16";"1M";"R-US_R0402";"R0402";"R7, R10, R13, R16, R19, R22, R25, R28, R31, R34, R43, R46, R55, R58, R67, R70";"RESISTOR, American symbol";"34";"R";
"2";"1u";"C-USC0402";"C0402";"C1, C26";"CAPACITOR, American symbol";"16";"C";
"1";"200k";"R-US_R0603";"R0603";"R2";"RESISTOR, American symbol";"77";"R";
"1";"22p";"C-USC0402";"C0402";"C27";"CAPACITOR, American symbol";"16";"C";
"1";"22u";"LQH3NPN220MMEL";"LQH3NPNXXXXMEX";"L1";"";"";"";
"1";"240k";"R-US_R0402";"R0402";"R4";"RESISTOR, American symbol";"34";"R";
"16";"2N7002K-7";"2N7002K-7";"2N7002K-7";"Q5, Q7, Q9, Q11, Q13, Q15, Q17, Q19, Q21, Q23, Q29, Q31, Q37, Q39, Q45, Q47";"";"";"";
"1";"360k";"R-US_R0402";"R0402";"R3";"RESISTOR, American symbol";"34";"R";
"2";"4.7u";"C-USC0603";"C0603";"C2, C28";"CAPACITOR, American symbol";"37";"C";
"16";"BSS138K";"BSS138K";"BSS138K";"Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20, Q22, Q24, Q30, Q32, Q38, Q40, Q46, Q48";"";"";"";
"8";"BUTTON-MOUNT";"BUTTON-MOUNT";"BUTTON-MOUNT";"AF2, AF3, AF4, AF5, AF6, AF8, AF10, AF12";"";"";"";
"8";"CDBHD140L-G";"CDBHD140L-G";"CDBHDXX0L-G";"U2, U3, U4, U5, U6, U8, U10, U12";"";"";"";
"16";"DFLU1200";"DFLU1200";"DFLU1200";"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D15, D16, D19, D20, D23, D24";"";"";"";
"1";"MIC5225";"MIC5225";"MIC5225";"U7";"";"";"";
"1";"TPS62120";"TPS62120";"SOP65P280X145-8N";"U1";"";"";"";
