"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"AF1";"BUTTON-MOUNT";"BUTTON-MOUNT";"BUTTON-MOUNT";"";"";"";
"C1";"10n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"16";"C";
"C2";"10n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"16";"C";
"D1";"DFLU1200";"DFLU1200";"DFLU1200";"";"";"";
"D2";"DFLU1200";"DFLU1200";"DFLU1200";"";"";"";
"JP1";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP2";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP3";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP4";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP5";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP6";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP7";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"JP8";"";"PINHD-1X1";"1X01";"PIN HEADER";"64";"";
"Q1";"2N7002K-7";"2N7002K-7";"2N7002K-7";"";"";"";
"Q2";"BSS138K";"BSS138K";"BSS138K";"";"";"";
"Q3";"2N7002K-7";"2N7002K-7";"2N7002K-7";"";"";"";
"Q4";"BSS138K";"BSS138K";"BSS138K";"";"";"";
"R1";"1M";"R-US_R0402";"R0402";"RESISTOR, American symbol";"34";"R";
"R2";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"34";"R";
"R3";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"34";"R";
"R4";"1M";"R-US_R0402";"R0402";"RESISTOR, American symbol";"34";"R";
"R5";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"34";"R";
"R6";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"34";"R";
"U1";"CDBHD140L-G";"CDBHD140L-G";"CDBHDXX0L-G";"";"";"";
